key,answer,alt,audio
熟能生巧,practice makes perfect,Shúnéng shēngqiǎo,danger/practice perfect.mp3
我不明白,I do not understand,Wǒ bù míngbái,danger/I do not understand mingbai.mp3
我不懂了,I do not understand,Wǒ bù dǒngle,danger/I do not understand.mp3
我很困惑,I'm confused,Wǒ hěn kùnhuò,danger/I am confused.mp3
我現在很困惑,I'm so confused right now,Wǒ xiànzài hěn kùnhuò,danger/I am confused right now.mp3
請你慢慢地說?,can you speak slowly please?,qǐng nǐ màn man de shuō?,danger/can you speak slowly please.mp3
你可以再說一次嗎?,can you say again?,nǐ kěyǐ zàishuō yīcì ma,danger/can you say again.mp3
我不知道怎麼說,I do not know how to say,Wǒ bù zhīdào zěnme shuō,danger/I do not know how to say.mp3
對不起 我的中文不好,I am sorry - my Chinese is bad,Duìbùqǐ wǒ de zhōngwén bù hǎo,danger/sorry my chinese is bad.mp3
這對我來說很難理解,This is difficult for me to understand,Zhè duì wǒ lái shuō hěn nán lǐjiě,danger/this is hard for me to understand.mp3
我覺得我腦子壞了,I think my brain is broken,Wǒ juédé wǒ nǎozi huàile,danger/I think my brain is broken.mp3
我不明白這是什麼意思,I do not understand what that means,Wǒ bù míngbái zhè shì shénme yìsi,danger/I do not understand what it means.mp3
我不明白這個意思,I do not understand the meaning,Wǒ bù míngbái zhège yìsi,danger/I do not understand this meaning.mp3
你說的太快了,you said that too fast,Nǐ shuō de tài kuàile,danger/you speak too fast.mp3
你能說慢點嗎？,can you say it slower?,Nǐ néng shuō màn diǎn ma?,danger/can you say it slower.mp3
教我說得更好,teach me say it better,Jiào wǒ shuō dé gèng hǎo,danger/teach me say it better.mp3
幫我理解,help me understand,Bāng wǒ lǐjiě,danger/help me understand.mp3
你想要什麼？,what do you want?,Nǐ xiǎng yào shénme?,danger/what do you want.mp3
幫助我學習,help me to learn,Bāngzhù wǒ xuéxí,danger/help me learn.mp3
我需要學習更多,I need to study more,Wǒ xūyào xuéxí gèng duō,danger/I need to study more.mp3
我需要多練習,I need to practice more,Wǒ xūyào duō liànxí,danger/lianxi.mp3
讓我想想,let me think,Ràng wǒ xiǎng xiǎng,danger/let me think.mp3
發生了是什麼？,what happened?,Fāshēngle shì shénme?,danger/what happened.mp3
我忘了怎麼說,I forgot how to say,Wǒ wàngle zěnme shuō,danger/I forgot how to say.mp3
我不記得這個詞,I don't remember the word,Wǒ bù jìdé zhège cí,danger/I dont remember the word.mp3
