key,answer,alt,audio
活到老學到老,live till old learn till old,Huó dào lǎo xué dào lǎo,learning/1.mp3
這是什麼?,what is this?,zhè shì shénme,learning/2.mp3
那是什麼?,what is that?,nà shì shénme,learning/3.mp3
...的中文怎麼說?,how do you say ... in Chinese?,... de zhōngwén zěnme shuō,learning/4.mp3
...用中文怎麼說?,how do you say ... in Chinese?,... yòng zhōngwén zěnme shuō,learning/5.mp3
...的中文是什麼?,what is ... in Chinese?,... de zhōngwén shì shénme,learning/6.mp3
...用中文是什麼?,what is ... in Chinese?,... yòng zhōngwén shì shénme,learning/7.mp3
我想了解你,I want to understand you,Wǒ xiǎng liǎojiě nǐ,learning/8.mp3
那是什麼意思？,what does that mean?,Nà shì shénme yìsi?,learning/9.mp3
你能說慢點嗎？,can you say it slower?,Nǐ néng shuō màn diǎn ma?,learning/10.mp3
那是誰？,who is that?,Nà shì shuí?,learning/11.mp3
他們是誰？,who are they?,Tāmen shì shuí?,learning/12.mp3
會發生什麼？,what will happen?,Huì fāshēng shénme?,learning/13.mp3
接下來會發生什麼？,what will happen next?,Jiē xiàlái huì fāshēng shénme?,learning/14.mp3
剛剛發生了什麼?,what just happened?,Gānggāng fāshēngle shénme,learning/15.mp3
那是什麼時候？,when was that?,Nà shì shénme shíhòu?,learning/16.mp3
那會是什麼時候？,when will that be?,Nà huì shì shénme shíhòu?,learning/17.mp3
那是哪裡？,where is that?,Nà shì nǎlǐ?,learning/18.mp3
他們要去哪？,where are they going?,Tāmen yào qù nǎ?,learning/19.mp3
你在哪裡找到這個？,where did you find this?,Nǐ zài nǎlǐ zhǎodào zhège?,learning/20.mp3
這個怎麼用？,how does this work?,Zhège zěnme yòng?,learning/21.mp3
怎麼做,how to do it,Zěnme zuò,learning/22.mp3
你最喜歡什麼顏色？,what is your favorite color?,Nǐ zuì xǐhuān shénme yánsè?,learning/23.mp3
你最喜歡的音樂是什麼？,what is your favorite music?,Nǐ zuì xǐhuān de yīnyuè shì shénme?,learning/24.mp3
哪一個更好？,which one is better?,Nǎ yīgè gèng hǎo?,learning/25.mp3
